Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,5.41736707091331,5.47462441027164,5.6062251329422,4.34189476072788,5.03476187586784,4.96025793254375,5.17223961651325,5.07784523069859,5.09581863880157,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,42.3045082092285,45.5877494812012,51.5532569885254,52.2185096740723,55.9675483703613,60.1127586364746,60.0888137817383,61.451286315918,67.1226501464844,..,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,43.4929586741415,44.7040820390283,46.1315029255889,47.7305639800263,49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803,..
Albania,ALB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,..
Algeria,DZA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,70.9039270877838,69.482147693634,70.6248939037323,72.929459810257,71.0484445095062,72.0087826251984,70.4593300819397,67.6843583583832,65.9546911716461,..,..
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,207.34602355957,228.399520874023,286.152008056641,333.936645507813,330.2236328125,357.898590087891,290.503601074219,260.422393798828,258.494293212891,..,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,14.8353224953185,15.1055341892902,15.3927145700202,15.6960402898721,16.0135581549623,16.3425424269652,16.680252672416,17.0259574932612,17.3777146120063,17.7300750711665,..
American Samoa,ASM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1,277.325,..
Andorra,AND,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,43.1341379880905,44.572725892067,45.8324730396271,46.4548230171204,47.2025603055954,47.779169678688,48.3258903026581,49.0151107311249,49.0319937467575,..,..
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,3911.89599609375,3754.7314453125,4013.91186523438,3857.1611328125,4107.73388671875,4346.25830078125,3695.06787109375,3843.70288085938,4040.78662109375,..,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,179.708510638298,179.678723404255,178.185106382979,175.376595744681,171.859574468085,168.53829787234,165.98085106383,164.46170212766,163.831914893617,163.842553191489,..
Angola,AGO,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,67.6742911338806,62.116277217865,64.7570610046387,65.2545511722565,62.0297968387604,54.1532635688782,47.3652303218842,44.1382706165314,46.27865254879,..,..
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,119.808624267578,96.6436996459961,122.117797851563,122.242942810059,143.703216552734,131.751876831055,108.680671691895,95.2208023071289,114.45964050293,..,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,18.0591008261811,18.7344557632149,19.427818240154,20.1395131146226,20.8677147669848,21.6104748536135,22.3665524985963,23.1350637683484,23.9165380604797,24.7130520574316,..
